Category,SrNo,Title,Link,Type,Description
Books,1,Streets of Rajasthan- In Search of Indianness in Public Spaces,,Book (Forthcoming),"Bhatt, J and Bhargava, M.B. 2021. Forthcoming. Springer Nature, Singapore."
Books,2,Applications of a Social-ecological system Framework- Analysing urban lake governance and sustainability in India,,Book (Forthcoming),"Bhargava, M.B. 2021. Forthcoming. In Series: Advances in Geographical and Environmental Sciences, Springer, Japan."
Books,3,Collective Memory of Public Spaces,,Book (Forthcoming),"Hambarde, A., and Bhargava, M.B. 2021. Forthcoming. Notion Press."
Books,4,Professor SM Akhtar: On Mosque Complex at Ayodhya and Beyond,https://notionpress.com/read/professor-sm-akhtar,Book,"Bhargava, M.B. 2021. Notion Press. ISBN-10: 1639205217"
Books,5,Why Resource Governance Fails?: Examples from Urban Lakes in India,https://books.google.co.in/books?hl=en&lr=&id=_ZjpDwAAQBAJ,Book,"Bhargava, M.B. and Ast, JVA, 2020. EBook on Indrastra Global. ISBN: 9798651597895"
Books,6,Social-ecological System Framework: Understanding urban lake governance and sustainability in India,https://repub.eur.nl/pub/77643/,PhD Dissertation,"PhD Dissertation at Erasmus University Rotterdam (2015). ISBN: 978-90-7011-65. Presents an understanding of urban lake governance and sustainability in India through the social-ecological system (SES) framework — a legacy of Elinor Ostrom's theoretical and empirical foundations on long-term sustainable resource management. Urban lakes are treated as social-ecological systems wherein ecological systems are linked with and affected by social systems in complex ways. The SES framework is applied in multiple stages, methods, and cases to produce a comprehensive overview — from broad to in-depth — of the governance and sustainability challenges of urban lake systems across India. The dissertation develops the Urban Lake System (ULS) analytical framework as a tool for both researchers and lake managers."
Articles,1,Women Water Leaders in the Making: South Asian Water Leadership Programme on Climate Change,https://repository.upenn.edu/wh2ojournal/vol8/iss1/15/,Journal Article,"Published in wH2O: The Journal of Gender and Water (2021). Co-authored with Mondal, S. and Robertson, M. Documents the South Asian Water Leadership Programme on Climate Change, examining the emerging role of women water leaders in South Asia. Explores how the programme builds capacity and confidence among women to engage with water governance and climate adaptation challenges in the region."
Articles,2,Reclaim the Drains in the Cities: For Relishing the Rains and Replenishing the Rivers & Lakes – I,https://www.indrastra.com/2020/10/Reclaim-Drains-in-Cities-006-10-2020-0031.html,Journal Article,"Published in IndraStra Global (2020). ISSN: 2381-3652. Argues for reclaiming urban drains as a critical strategy for cities to better manage rainfall and replenish rivers and lakes. Part of a series examining urban water infrastructure, the article calls for a policy and planning shift that views city drains not as waste channels but as vital connectors between rainwater, rivers, and lakes."
Articles,3,"Walk the Lake, Talk the Lake",,Journal Article,"Bhargava, M.B. 2020. MyLiveableCity. Focus on Heritage & Culture, Jan-June 2020. ISSN 2455-2380."
Articles,4,The 'Adat' institution and the Management of Grand Forest 'Herman Yohannes' in Indonesian Timor: The Role of Design Principles for Sustainable Management of Common Pool Resources,https://www.jstor.org/stable/26393164,Journal Article,"Published in Conservation and Society, 12(3), pp.194–305 (2014). Co-authored with Van Ast, J.A. and Widaryati, A. Examines the role of the traditional 'Adat' institution in managing the Grand Forest 'Herman Yohannes' in Indonesian Timor. Applies Ostrom's design principles to assess how indigenous customary governance structures contribute to the sustainable management of common pool forest resources in the region."
