name,details,link,tags,isHub
Dr. Mansee Bal Bhargava,"Host & Coordinator of this professional network. Researcher, Educator, Entrepreneur.",index.html,hub,true
EDRC Fellows,Research and Project Fellows until Dec 2020 & Aug 2021 at EDRC.,http://www.mansee.in/wp-content/uploads/2021/08/RCF-BIO_Aug2021.pdf,"EDRC, environmental",
Akshay Bhargava,Landscape Architect at Environmental Design Consultants (EDC) Ahmedabad.,http://www.edc.org.in/,"EDC, architect",
Alka Bharat,"Prof and Head, Dept of Arch. & Planning, M.A.N.I.T. Bhopal.",http://manit.ac.in/web/year2010/Profile/Architecture_Planning/Brief%20CV%20alka%20bharat%200810.pdf,"CEPT, academic",
Anil Gupta,"Professor-Mentor at IIMA, Srishti, HBN, NIF, etc.",http://www.iimahd.ernet.in/~anilg/,"academic, technology",
Late Barry Moore,"Professor, Dept. of Land Economy, University of Cambridge, UK.",http://www-old.dow.cam.ac.uk/index.php/about/news/456-moore,"Cambridge, academic",
Bibhu P Nayak,"Associate Professor, TISS Hyderabad.",https://www.tiss.edu/view/9/employee/bibhu-prasad-nayak/,"TISS, academic",
BV Doshi,"Architect, Professor, and Pritzker Laureate Mentor at Sangath.",http://www.sangath.org/,"CEPT, architect",
Carley Pennink,"Head, International Projects, IHS-Erasmus University Rotterdam.",http://www.ihs.nl/about_ihs/ihs_staff/management_team/carley_pennink/,"IHS, academic",
Claudio Acioly,"Architect-Urban Planner, UN Habitat.",http://unhabitat.org/tag/claudio-acioly/,"IHS, architect",
Donald Housing,"Institute for a Secure and Sustainable Environment, University of TN.",,"academic, environmental",
Eduardo S. Brondizio,"Professor, Anthropology Department, Indiana University, Bloomington.",http://www.indiana.edu/~anthro/people/faculty/ebrondiz.shtml,"Ostrom, academic",
Fawzia Taranum,"Assistant Professor, TERI School of Advance Sciences, Delhi.",https://www.terisas.ac.in/faculty.php?id=50,"academic, environmental",
Gautamee Baviskar,"Urban Planner, Student, and Researcher.",http://www.gautameebaviskar.wix.com/website,academic,
Ganesh Shankar,"Managing Director, Fluxgen Engineering Technologies.",http://www.fluxgentech.com/home-1,technology,
Late Elinor Ostrom,"Nobel Laureate and Co-founder of The Ostrom Workshop, Indiana University.",https://ostromworkshop.indiana.edu/about/nobelprize.html,"Ostrom, academic",
Gita Goven,"Architect and Urban Designer, ArgDesign CapeTown.",http://argdesign.co.za/,architect,
Harsh Vardhan,Environmentalist based in Jaipur.,http://www.birdfair.org/,environmental,
Jacko van Ast,"Prof. Dept. of Public Administration, Faculty of Social Science, Erasmus University Rotterdam.",http://www.eur.nl/fsw/english/publicadministration/contact/staff/profiel_mis/10101/,"IHS, academic",
Jaime Izurieta,"Architect, Urban Designer, and Manager.",http://gkillcity.com/autor/jaime-izurieta-varea,architect,
Jan Fransen,"Deputy Director, IHS- Erasmus University Rotterdam.",http://www.ihs.nl/about_ihs/ihs_staff/management_team/jan_fransen/,"IHS, academic",
Kenji Otsuka,"Director, Environment and Natural Resource Studies Group, IDE-JETRO.",http://www.ide.go.jp/English/Researchers/otsuka_kenji_en.html,"academic, environmental",
Kinny Soni,Architect and Interior Designer.,http://kinnysoni.com/,architect,
Kirti Pathak,Social Activist based in Ajmer.,,environmental,
Klaus Eisenack,"Resource Economics Group, Humboldt-Universität zu Berlin.",http://resource-economics.hu-berlin.de,"Ostrom, academic",
Madhubharti Sharma,"Professor, Faculty of Planning, CEPT University.",http://cept.ac.in/10/110/faculty-of-planning/staffmember/56/madhu-bharti,"CEPT, academic",
Marco Janssen,"Professor, School of Sustainability and Director of CBIE, ASU Tempe.",http://www.marcojanssen.info/,"Ostrom, academic",
Neelkanth Chhaya,Architect and Professor.,http://www.mandazhi.net/Neelkanthchhaya.html,"CEPT, architect, academic",
Prabhat Kumar Singh,"Professor, Dept. of Civil Engineering, IIT-BHU.",https://www.iitbhu.ac.in/dept/civ/people/psinghciv,academic,
Pratap Patil,Architect and Urban Designer.,http://www.pratapdpatil.com/,architect,
PVK Rameshwar,"Architect, Urban Designer, and Professor.",http://www.shilanyas.com/about-us,"CEPT, architect, academic",
Rolf Kunneke,"Professor of Economics of Infrastructures, TU Delft.",http://www.tbm.tudelft.nl/en/about-faculty/professors/professor-profile/rolf-kuenneke/,"academic, technology",
Sanal Thathapuzha,Architect.,http://sanalthathapuzha.com/,architect,
Sandeep Sankat,"Architect-Professor, Department of Architecture, SPA Bhopal.",http://www.spabhopal.ac.in/sandeepsankat.aspx,"academic, architect",
Sanjay Das,"Digital Transformation Leader, SAP- Europe at IBM.",https://www.linkedin.com/in/sanjay-das-0174701?authType=name&authToken=-qoK&trk=wonton-desktop,technology,
Shrawan K Acharya,"Professor, School of Social Sciences, JNU, Delhi.",http://www.jnu.ac.in/FacultyStaff/ShowProfile.asp?SendUserName=skacharya,academic,
Subhasish Borah and Bidisha Das,Folklore and Kohuwa collectives.,https://folkloretea.com/,environmental,
Tine de Moor,"Professor, RSM Erasmus University Rotterdam.",https://www.rsm.nl/people/tine-de-moor/,"IHS, academic",
Ujjval Panchal,Architect and Interaction Designer.,http://www.ujjvalpanchal.com/,"architect, technology",
Urvi Sheth,"Director, Workshops at CEPT University.",http://urvisheth.com/,"CEPT, architect, academic",
Utpal Sharma,"Director at Institute of Architecture and Planning, Nirma University, Ahmedabad.",http://www.nirmauni.ac.in/IANU/Faculty/Prof-Utpal-Kumar-Sharma,academic,
Zhang Zongyi,SEM-Tongji University Shanghai.,http://sem.tongji.edu.cn/semen/?p=12225,"IHS, academic",
