Category,Content,Link
Jury Member,"Bachelor of Architecture Thesis Defence at IPSA, Saurashtra University, Rajkot",
Jury Member,"Bachelor of Planning Student at CEPT University, Ahmedabad",
Jury Member,"Master's in Architecture Thesis at Central University, Ajmer",
Jury Member,"Urban Design Studio at Grow More Group of Institutions, Himmatnagar",
Jury Member,"Urban Design Studio at KLE Technological University, Hubli",
Jury Member,"Masters of Planning at CEPT University, Ahmedabad",
Jury Member,"Bachelor of Planning Student at CEPT University, Ahmedabad",
Jury Member,P. G. Urban Design Studio on Ujjain Old City Revitalisation at CEPT Ahmedabad,
Jury Member,"Under Graduate Final Dissertation at National Institute of Design, Ahmedabad",
Jury Member,"MPhil. Environmental Design Final Design at Martin Centre, University of Cambridge",
Undergrad Theses,Swati Thesiya: Understanding integration of nature into space making in Geoffrey Bawa’s work.,
Undergrad Theses,"Aniket Shah: Craft Learning Centre and Museum, Ahmedabad.",
Undergrad Theses,Aarsi Desai: Vertical Neighbourhood - an Integrated Habitat.,
Undergrad Theses,Neerja Dave: Relevance of Geometry in Urban Design.,
Undergrad Theses,Aakash Srivastav: Corporate Campus: Vistar (as external guide).,
Undergrad Theses,"Riddhi Madeka: Exploring underwater architecture, by designing aqua-museum.",
Postgrad Theses,Harshit Pathak (TISS Hyderabad): Institutional Analysis of Urban Lake Policies in India.,
Postgrad Theses,"Richa Garg (CEPT University, Ahmedabad): Urban Lake Sustainability through Lake Governance: Lake Anasagar, Ajmer.",
Postgrad Theses,"Megha Sanjaniwala (CEPT University, Ahmedabad): Urban Lake Sustainability, Understanding Lake Governance of Gundalav Talab in Kishangarh, Rajasthan.",
Postgrad Theses,"Tanima Tabassum (IHS-EUR): Self-Organisation in Inclusiveness of Ramna Park, Dhaka, Bangladesh.",
Postgrad Theses,"Fuchen Yu (IHS-EUR): Sustainable Management of Primary & Middle Schools in Jiaonan city, China.",
Postgrad Theses,"Irha Enjang Dwita (IHS-EUR): Sustainable Management of Urban Green Spaces in Jakarta, Indonesia.",
Postgrad Theses,Rindy Farrah Indah Dewi (IHS-EUR): Implementing Congestion Charge in Jakarta.,
Postgrad Theses,Ferdinand Yayra Kofi Yali (IHS-EUR): Building Institutional Capacity for the Implementation of the Bus Rapid Transit System (BRTS) in Accra.,
Postgrad Theses,Zijing Guo (IHS-EUR): People’s Perception on the Artificial Eco-wetland Project in Kunming: Study of Sustainability of Dianchi Lake in China.,
Postgrad Theses,Teguh Setiawan (IHS-EUR): Role of Public Art in Urban Environment: A Case Study of Mural Art in Yogyakarta City in Indonesia.,
Postgrad Theses,"Akhmad Syajari (IHS-EUR): Community Participation on Environment Friendly Kampung Program in Kampung Berdikari Palembang South Sumatera Province, Indonesia.",
Special Courses,"Ontology approach to analyse wetland management using Social-ecological Framework, at RIHN Kyoto with Abe Sansei and Terukazu Kumazawa.",
Special Courses,"Institutional Analysis Development Framework, Social-ecological Framework and Governing the Commons, at The Ostrom Workshop Bloomington with Prof. Elinor Ostrom.",
Special Courses,"Advanced Research Methodology for PhD in Public Administration, at Netherlands Institute of Governance.",
Special Courses,"Teacher’s Training for Yogasanas, Meditation and Yogic Science and Second Degree in REIKI for Natural Healing, at Shivanand Ashram, Ahmedabad.",
Special Courses,"Advanced Yog Training at Vasant Nature Cure, Ahmedabad.",https://www.mansee.in/wp-content/uploads/2018/07/Yog-Group-for-teaching-Page-website.pdf
